Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2019Q4,,S08000017,,Y144H,,Emergency Inpatients,,20,172,8.6,,20,211,10.55,
2020Q1,,S08000017,,Y144H,,Emergency Inpatients,,15,141,9.4,,15,216,14.4,
2020Q2,,S08000017,,Y144H,,Emergency Inpatients,,19,206,10.84210526,,20,307,15.35,
2020Q3,p,S08000017,,Y144H,,Emergency Inpatients,,5,70,14,,5,196,39.2,
2015Q3,,S08000017,,S08000017,d,Emergency Inpatients,,3156,8758,2.775031686,,3112,27391,8.801735219,
2015Q4,,S08000017,,S08000017,d,Emergency Inpatients,,3037,9862,3.247283503,,3021,30838,10.20787819,
2016Q1,,S08000017,,S08000017,d,Emergency Inpatients,,3149,10314,3.2753255,,3125,30046,9.61472,
2016Q2,,S08000017,,S08000017,d,Emergency Inpatients,,3297,10153,3.079466181,,3290,31146,9.466869301,
2016Q3,,S08000017,,S08000017,d,Emergency Inpatients,,3308,9229,2.789903265,,3308,30252,9.145102781,
2016Q4,,S08000017,,S08000017,d,Emergency Inpatients,,3412,7817,2.291031653,,3319,29716,8.953299187,
2017Q1,,S08000017,,S08000017,d,Emergency Inpatients,,3333,5037,1.511251125,,3319,29863,8.997589635,
2017Q2,,S08000017,,S08000017,d,Emergency Inpatients,,3384,5497,1.624408983,,3367,30321,9.005346005,
2017Q3,,S08000017,,S08000017,d,Emergency Inpatients,,3569,4883,1.368170356,,3548,27618,7.78410372,
2017Q4,,S08000017,,S08000017,d,Emergency Inpatients,,3456,5655,1.636284722,,3391,29000,8.552049543,
2018Q1,,S08000017,,S08000017,d,Emergency Inpatients,,3574,5796,1.621712367,,3573,31479,8.810243493,
2018Q2,,S08000017,,S08000017,d,Emergency Inpatients,,3476,5442,1.565592635,,3439,28279,8.223029951,
2018Q3,,S08000017,,S08000017,d,Emergency Inpatients,,3512,5468,1.556947608,,3470,29257,8.431412104,
2018Q4,,S08000017,,S08000017,d,Emergency Inpatients,,3497,5644,1.613954818,,3452,29503,8.546639629,
2019Q1,,S08000017,,S08000017,d,Emergency Inpatients,,3502,5667,1.618218161,,3470,31101,8.962824207,
2019Q2,,S08000017,,S08000017,d,Emergency Inpatients,,3679,5895,1.602337592,,3663,32167,8.781599782,
2019Q3,,S08000017,,S08000017,d,Emergency Inpatients,,3494,5886,1.684602175,,3479,31114,8.943374533,
2019Q4,,S08000017,,S08000017,d,Emergency Inpatients,,3676,6387,1.737486398,,3650,31423,8.609041096,
2020Q1,,S08000017,,S08000017,d,Emergency Inpatients,,3322,6034,1.816375677,,3433,37481,10.9178561,
2020Q2,,S08000017,,S08000017,d,Emergency Inpatients,,2686,4358,1.622486969,,2612,19963,7.64280245,
2020Q3,p,S08000017,,S08000017,d,Emergency Inpatients,,3303,5632,1.705116561,,3279,25721,7.844159805,
2015Q3,,S08000029,,S08000029,d,Emergency Inpatients,,6572,10856,1.65185636,,6514,50122,7.694504145,
2015Q4,,S08000029,,S08000029,d,Emergency Inpatients,,6571,9668,1.471313347,,6478,51962,8.021302871,
2016Q1,,S08000029,,S08000029,d,Emergency Inpatients,,7013,10331,1.473121346,,6992,53530,7.655892449,
2016Q2,,S08000029,,S08000029,d,Emergency Inpatients,,6849,10145,1.481238137,,6794,50226,7.392699441,
2016Q3,,S08000029,,S08000029,d,Emergency Inpatients,,6962,9774,1.403906923,,6871,50642,7.370397322,
2016Q4,,S08000029,,S08000029,d,Emergency Inpatients,,6975,10340,1.482437276,,6927,53737,7.757615129,
2017Q1,,S08000029,,S08000029,d,Emergency Inpatients,,6889,11502,1.669618232,,6823,48850,7.159607211,
2017Q2,,S08000029,,S08000029,d,Emergency Inpatients,,7484,9992,1.335114912,,7448,52225,7.011949517,
2017Q3,,S08000029,,S08000029,d,Emergency Inpatients,,7298,9545,1.307892573,,7253,50267,6.930511512,
2017Q4,,S08000029,,S08000029,d,Emergency Inpatients,,7521,10107,1.343837256,,7391,49022,6.632661345,
2018Q1,,S08000029,,S08000029,d,Emergency Inpatients,,7442,10589,1.422870196,,7434,55224,7.428571429,
2018Q2,,S08000029,,S08000029,d,Emergency Inpatients,,7654,9606,1.25503005,,7624,51288,6.727177335,
2018Q3,,S08000029,,S08000029,d,Emergency Inpatients,,7349,9809,1.33473942,,7253,48039,6.623328278,
2018Q4,,S08000029,,S08000029,d,Emergency Inpatients,,7579,10260,1.353740599,,7507,54471,7.256027707,
2019Q1,,S08000029,,S08000029,d,Emergency Inpatients,,7822,10235,1.308488878,,7784,54425,6.991906475,
2019Q2,,S08000029,,S08000029,d,Emergency Inpatients,,7798,11024,1.413695819,,7761,53187,6.853111712,
2019Q3,,S08000029,,S08000029,d,Emergency Inpatients,,7836,10917,1.393185299,,7777,52781,6.786807252,
2019Q4,,S08000029,,S08000029,d,Emergency Inpatients,,7748,11092,1.43159525,,7660,54995,7.179503916,
2020Q1,,S08000029,,S08000029,d,Emergency Inpatients,,6961,10910,1.567303548,,7140,61030,8.547619048,
2020Q2,,S08000029,,S08000029,d,Emergency Inpatients,,5433,7312,1.345849439,,5258,34815,6.621338912,
2020Q3,p,S08000029,,S08000029,d,Emergency Inpatients,,6784,8378,1.234964623,,6751,44426,6.580654718,
2015Q3,,S08000029,,F805H,,Emergency Inpatients,,40,818,20.45,,30,502,16.73333333,
2015Q4,,S08000029,,F805H,,Emergency Inpatients,,23,325,14.13043478,,20,298,14.9,
2016Q1,,S08000029,,F805H,,Emergency Inpatients,,35,485,13.85714286,,30,497,16.56666667,
2016Q2,,S08000029,,F805H,,Emergency Inpatients,,45,586,13.02222222,,35,400,11.42857143,
2016Q3,,S08000029,,F805H,,Emergency Inpatients,,31,504,16.25806452,,30,613,20.43333333,
2016Q4,,S08000029,,F805H,,Emergency Inpatients,,21,381,18.14285714,,20,404,20.2,
2017Q1,,S08000029,,F805H,,Emergency Inpatients,,23,415,18.04347826,,20,285,14.25,
2017Q2,,S08000029,,F805H,,Emergency Inpatients,,360,564,1.566666667,,360,583,1.619444444,
2017Q3,,S08000029,,F805H,,Emergency Inpatients,,111,488,4.396396396,,105,473,4.504761905,
2017Q4,,S08000029,,F805H,,Emergency Inpatients,,58,587,10.12068966,,50,409,8.18,
2018Q1,,S08000029,,F805H,,Emergency Inpatients,,29,292,10.06896552,,25,353,14.12,
2018Q2,,S08000029,,F805H,,Emergency Inpatients,,35,328,9.371428571,,35,385,11,
2018Q3,,S08000029,,F805H,,Emergency Inpatients,,28,301,10.75,,25,277,11.08,
2018Q4,,S08000029,,F805H,,Emergency Inpatients,,30,429,14.3,,30,486,16.2,
2019Q1,,S08000029,,F805H,,Emergency Inpatients,,29,361,12.44827586,,25,329,13.16,
2019Q2,,S08000029,,F805H,,Emergency Inpatients,,36,709,19.69444444,,35,721,20.6,
2019Q3,,S08000029,,F805H,,Emergency Inpatients,,24,359,14.95833333,,25,345,13.8,
2019Q4,,S08000029,,F805H,,Emergency Inpatients,,33,371,11.24242424,,30,383,12.76666667,
2020Q1,,S08000029,,F805H,,Emergency Inpatients,,25,459,18.36,,25,460,18.4,
2020Q2,,S08000029,,F805H,,Emergency Inpatients,,54,110,2.037037037,,51,40,0.784313725,
2020Q3,p,S08000029,,F805H,,Emergency Inpatients,,5,132,26.4,,5,132,26.4,
2015Q3,,S08000029,,F704H,,Emergency Inpatients,,6525,9945,1.524137931,,6476,49527,7.647776405,
2015Q4,,S08000029,,F704H,,Emergency Inpatients,,6535,9109,1.393879112,,6446,51441,7.980297859,
2016Q1,,S08000029,,F704H,,Emergency Inpatients,,6975,9752,1.398136201,,6954,52877,7.603825137,
2016Q2,,S08000029,,F704H,,Emergency Inpatients,,6800,9411,1.383970588,,6755,49678,7.354256107,
2016Q3,,S08000029,,F704H,,Emergency Inpatients,,6924,9123,1.317590988,,6836,49950,7.306904623,
2016Q4,,S08000029,,F704H,,Emergency Inpatients,,6950,9907,1.425467626,,6905,53307,7.720057929,
2017Q1,,S08000029,,F704H,,Emergency Inpatients,,6856,10725,1.564323221,,6795,48183,7.090949227,
2017Q2,,S08000029,,F704H,,Emergency Inpatients,,7117,9337,1.311929184,,7082,51556,7.279864445,
2017Q3,,S08000029,,F704H,,Emergency Inpatients,,7174,8769,1.222330638,,7137,49614,6.951660361,
2017Q4,,S08000029,,F704H,,Emergency Inpatients,,7443,9216,1.238210399,,7323,48347,6.602075652,
2018Q1,,S08000029,,F704H,,Emergency Inpatients,,7397,9849,1.331485737,,7394,54634,7.388964025,
2018Q2,,S08000029,,F704H,,Emergency Inpatients,,7602,8952,1.177584846,,7576,50688,6.690601901,
2018Q3,,S08000029,,F704H,,Emergency Inpatients,,7303,9214,1.261673285,,7215,47552,6.590713791,
2018Q4,,S08000029,,F704H,,Emergency Inpatients,,7538,9658,1.281241709,,7467,53705,7.192312843,
2019Q1,,S08000029,,F704H,,Emergency Inpatients,,7780,9600,1.233933162,,7747,53907,6.958435523,
2019Q2,,S08000029,,F704H,,Emergency Inpatients,,7750,9858,1.272,,7721,52288,6.772179769,
2019Q3,,S08000029,,F704H,,Emergency Inpatients,,7797,10176,1.305117353,,7743,52276,6.751388351,
2019Q4,,S08000029,,F704H,,Emergency Inpatients,,7702,10405,1.350947806,,7617,54175,7.112380202,
2020Q1,,S08000029,,F704H,,Emergency Inpatients,,6925,10134,1.463393502,,7111,60375,8.490367037,
2020Q2,,S08000029,,F704H,,Emergency Inpatients,,5372,7121,1.325577066,,5202,34709,6.672241446,
2020Q3,p,S08000029,,F704H,,Emergency Inpatients,,6776,8220,1.213105077,,6744,44272,6.564650059,
2015Q3,,S08000019,,V217H,,Emergency Inpatients,,6040,12000,1.986754967,,5942,49843,8.388253113,
2015Q4,,S08000019,,V217H,,Emergency Inpatients,,5838,11956,2.047961631,,5764,49999,8.674358085,
2016Q1,,S08000019,,V217H,,Emergency Inpatients,,6042,13178,2.181065872,,5932,50486,8.510788941,
2016Q2,,S08000019,,V217H,,Emergency Inpatients,,5826,12394,2.12736011,,5775,49515,8.574025974,
2016Q3,,S08000019,,V217H,,Emergency Inpatients,,5838,10248,1.755395683,,5749,47356,8.237258654,
2016Q4,,S08000019,,V217H,,Emergency Inpatients,,6035,10844,1.796851698,,5992,53453,8.920727637,
2017Q1,,S08000019,,V217H,,Emergency Inpatients,,6440,12965,2.013198758,,6365,54030,8.488609584,
2017Q2,,S08000019,,V217H,,Emergency Inpatients,,6430,12886,2.004043546,,6379,51635,8.094528923,
2017Q3,,S08000019,,V217H,,Emergency Inpatients,,6305,12272,1.946391753,,6245,49520,7.929543635,
2017Q4,,S08000019,,V217H,,Emergency Inpatients,,6441,13397,2.079956528,,6334,50339,7.947426587,
2018Q1,,S08000019,,V217H,,Emergency Inpatients,,6300,14452,2.293968254,,6200,51375,8.286290323,
2018Q2,,S08000019,,V217H,,Emergency Inpatients,,6295,12620,2.004765687,,6292,51065,8.115861411,
2018Q3,,S08000019,,V217H,,Emergency Inpatients,,6356,12708,1.999370673,,6260,49810,7.95686901,
2018Q4,,S08000019,,V217H,,Emergency Inpatients,,6308,13925,2.207514268,,6272,53764,8.572066327,
2019Q1,,S08000019,,V217H,,Emergency Inpatients,,6235,13643,2.188131516,,6190,49185,7.945880452,
2019Q2,,S08000019,,V217H,,Emergency Inpatients,,7806,14246,1.825006405,,7360,49064,6.666304348,
2019Q3,,S08000019,,V217H,,Emergency Inpatients,,8321,12401,1.490325682,,7979,51235,6.421230731,
2019Q4,,S08000019,,V217H,,Emergency Inpatients,,7137,7699,1.078744571,,7020,47859,6.817521368,
2020Q1,,S08000019,,V217H,,Emergency Inpatients,,3032,4373,1.442282322,,2895,30377,10.49291883,
2020Q2,,S08000019,,V217H,,Emergency Inpatients,,4309,4278,0.992805755,,4030,30957,7.681637717,
2020Q3,p,S08000019,,V217H,,Emergency Inpatients,,2160,2429,1.124537037,,2168,20219,9.326107011,
2015Q3,,S08000019,,S08000019,d,Emergency Inpatients,,6042,12003,1.986593843,,5942,49843,8.388253113,
2015Q4,,S08000019,,S08000019,d,Emergency Inpatients,,5838,11956,2.047961631,,5764,49999,8.674358085,
2016Q1,,S08000019,,S08000019,d,Emergency Inpatients,,6042,13178,2.181065872,,5932,50486,8.510788941,
2016Q2,,S08000019,,S08000019,d,Emergency Inpatients,,5832,12566,2.154663923,,5776,49579,8.583621884,
2016Q3,,S08000019,,S08000019,d,Emergency Inpatients,,5838,10248,1.755395683,,5749,47356,8.237258654,
2016Q4,,S08000019,,S08000019,d,Emergency Inpatients,,6036,10863,1.799701789,,5992,53453,8.920727637,
2017Q1,,S08000019,,S08000019,d,Emergency Inpatients,,6444,13204,2.049037865,,6364,54250,8.524512885,
2017Q2,,S08000019,,S08000019,d,Emergency Inpatients,,6431,12966,2.016171668,,6379,51635,8.094528923,
2017Q3,,S08000019,,S08000019,d,Emergency Inpatients,,6309,12306,1.950546838,,6247,49519,7.926844886,
2017Q4,,S08000019,,S08000019,d,Emergency Inpatients,,6443,13574,2.106782555,,6334,50339,7.947426587,
2018Q1,,S08000019,,S08000019,d,Emergency Inpatients,,6303,14476,2.296684119,,6202,51386,8.285391809,
2018Q2,,S08000019,,S08000019,d,Emergency Inpatients,,6294,12653,2.010327296,,6292,51065,8.115861411,
2018Q3,,S08000019,,S08000019,d,Emergency Inpatients,,6356,12708,1.999370673,,6260,49810,7.95686901,
2018Q4,,S08000019,,S08000019,d,Emergency Inpatients,,6308,13925,2.207514268,,6272,53764,8.572066327,
2019Q1,,S08000019,,S08000019,d,Emergency Inpatients,,6237,13658,2.189834857,,6193,49185,7.942031326,
2019Q2,,S08000019,,S08000019,d,Emergency Inpatients,,7813,15034,1.924228849,,7363,49091,6.667255195,
2019Q3,,S08000019,,S08000019,d,Emergency Inpatients,,8328,12919,1.551272815,,7983,51343,6.431542027,
2019Q4,,S08000019,,S08000019,d,Emergency Inpatients,,7144,8067,1.129199328,,7023,48016,6.83696426,
2020Q1,,S08000019,,S08000019,d,Emergency Inpatients,,3036,4382,1.443346509,,2898,30384,10.48447205,
2020Q2,,S08000019,,S08000019,d,Emergency Inpatients,,4314,4323,1.002086231,,4035,31052,7.695662949,
2020Q3,p,S08000019,,S08000019,d,Emergency Inpatients,,2163,2472,1.142857143,,2173,20509,9.438104004,
2015Q3,,S08000020,,N101H,,Emergency Inpatients,,8126,31807,3.914225941,,7930,65837,8.302269861,
2015Q4,,S08000020,,N101H,,Emergency Inpatients,,8082,28960,3.583271467,,7870,65356,8.304447268,
2016Q1,,S08000020,,N101H,,Emergency Inpatients,,8186,30566,3.733935988,,7986,70612,8.841973454,
2016Q2,,S08000020,,N101H,,Emergency Inpatients,,7913,28216,3.565777834,,7751,66605,8.593084763,
2016Q3,,S08000020,,N101H,,Emergency Inpatients,,7802,28416,3.64214304,,7636,67142,8.792823468,
2016Q4,,S08000020,,N101H,,Emergency Inpatients,,8191,29252,3.571236723,,7967,63628,7.986444082,
2017Q1,,S08000020,,N101H,,Emergency Inpatients,,8022,31075,3.873722264,,7906,69408,8.779155072,
2017Q2,,S08000020,,N101H,,Emergency Inpatients,,8152,28545,3.501594701,,7989,64020,8.013518588,
2017Q3,,S08000020,,N101H,,Emergency Inpatients,,8186,29307,3.580136819,,7940,61041,7.687783375,
2017Q4,,S08000020,,N101H,,Emergency Inpatients,,8449,29734,3.519233045,,8285,64833,7.825347013,
2018Q1,,S08000020,,N101H,,Emergency Inpatients,,8603,33994,3.951412298,,8415,69960,8.31372549,
2018Q2,,S08000020,,N101H,,Emergency Inpatients,,8546,29868,3.494968406,,8379,66629,7.951903568,
2018Q3,,S08000020,,N101H,,Emergency Inpatients,,8423,28560,3.390715897,,8195,59551,7.266748017,
2018Q4,,S08000020,,N101H,,Emergency Inpatients,,8380,29601,3.532338902,,8217,63136,7.683582816,
2019Q1,,S08000020,,N101H,,Emergency Inpatients,,8485,31706,3.736711844,,8308,63701,7.667428984,
2019Q2,,S08000020,,N101H,,Emergency Inpatients,,8633,32376,3.750260628,,8415,62997,7.48627451,
2019Q3,,S08000020,,N101H,,Emergency Inpatients,,8864,32881,3.709499097,,8673,64703,7.460279027,
2019Q4,,S08000020,,N101H,,Emergency Inpatients,,8898,33092,3.719037986,,8725,68631,7.866017192,
2020Q1,,S08000020,,N101H,,Emergency Inpatients,,8474,33173,3.914680198,,8421,73743,8.757035981,
2020Q2,,S08000020,,N101H,,Emergency Inpatients,,7902,16955,2.145659327,,7701,46110,5.987534086,
2020Q3,p,S08000020,,N101H,,Emergency Inpatients,,7991,23970,2.999624578,,7975,50851,6.37630094,
2015Q3,,S08000020,,N411H,,Emergency Inpatients,,1289,4644,3.602792863,,1277,10953,8.577133908,
2015Q4,,S08000020,,N411H,,Emergency Inpatients,,1215,4352,3.581893004,,1192,11648,9.771812081,
2016Q1,,S08000020,,N411H,,Emergency Inpatients,,1262,4051,3.209984152,,1251,11839,9.463629097,
2016Q2,,S08000020,,N411H,,Emergency Inpatients,,1446,5131,3.548409405,,1427,13660,9.572529783,
2016Q3,,S08000020,,N411H,,Emergency Inpatients,,1485,4410,2.96969697,,1476,13857,9.388211382,
2016Q4,,S08000020,,N411H,,Emergency Inpatients,,1481,4789,3.233625928,,1464,12868,8.789617486,
2017Q1,,S08000020,,N411H,,Emergency Inpatients,,1413,5441,3.850672328,,1387,13595,9.801730353,
2017Q2,,S08000020,,N411H,,Emergency Inpatients,,1453,4858,3.343427392,,1458,12875,8.830589849,
2017Q3,,S08000020,,N411H,,Emergency Inpatients,,1548,4852,3.134366925,,1523,15032,9.869993434,
2017Q4,,S08000020,,N411H,,Emergency Inpatients,,1595,4204,2.635736677,,1578,12221,7.744613435,
2018Q1,,S08000020,,N411H,,Emergency Inpatients,,1519,4857,3.197498354,,1490,12890,8.651006711,
2018Q2,,S08000020,,N411H,,Emergency Inpatients,,1543,4755,3.081659106,,1545,14205,9.194174757,
2018Q3,,S08000020,,N411H,,Emergency Inpatients,,1458,4139,2.838820302,,1434,10796,7.528591353,
2018Q4,,S08000020,,N411H,,Emergency Inpatients,,1475,4264,2.890847458,,1478,13479,9.119756428,
2019Q1,,S08000020,,N411H,,Emergency Inpatients,,1415,4049,2.861484099,,1417,12877,9.087508821,
2019Q2,,S08000020,,N411H,,Emergency Inpatients,,1410,3931,2.787943262,,1402,10593,7.555634807,
2019Q3,,S08000020,,N411H,,Emergency Inpatients,,1339,4027,3.00746826,,1308,11572,8.847094801,
2019Q4,,S08000020,,N411H,,Emergency Inpatients,,1378,6801,4.935413643,,1368,14481,10.58552632,
2020Q1,,S08000020,,N411H,,Emergency Inpatients,,1309,4893,3.737967914,,1320,14668,11.11212121,
2020Q2,,S08000020,,N411H,,Emergency Inpatients,,1176,3481,2.960034014,,1156,10374,8.974048443,
2020Q3,p,S08000020,,N411H,,Emergency Inpatients,,1291,3674,2.845855926,,1266,9425,7.444707741,
2015Q3,,S08000020,,S08000020,d,Emergency Inpatients,,9725,37830,3.889974293,,9511,78500,8.253601093,
2015Q4,,S08000020,,S08000020,d,Emergency Inpatients,,9569,34846,3.641550841,,9336,78934,8.454798629,
2016Q1,,S08000020,,S08000020,d,Emergency Inpatients,,9707,36294,3.738951272,,9490,84142,8.866385669,
2016Q2,,S08000020,,S08000020,d,Emergency Inpatients,,9690,35202,3.632817337,,9505,82194,8.647448711,
2016Q3,,S08000020,,S08000020,d,Emergency Inpatients,,9611,34136,3.551763604,,9432,82621,8.759648007,
2016Q4,,S08000020,,S08000020,d,Emergency Inpatients,,9949,35413,3.559453211,,9703,78021,8.040915181,
2017Q1,,S08000020,,S08000020,d,Emergency Inpatients,,9707,37826,3.896775523,,9564,84509,8.83615642,
2017Q2,,S08000020,,S08000020,d,Emergency Inpatients,,9939,34825,3.503873629,,9773,78436,8.025785327,
2017Q3,,S08000020,,S08000020,d,Emergency Inpatients,,10043,35642,3.54893956,,9768,77715,7.956081081,
2017Q4,,S08000020,,S08000020,d,Emergency Inpatients,,10291,34929,3.394130794,,10107,78257,7.742851489,
2018Q1,,S08000020,,S08000020,d,Emergency Inpatients,,10370,40443,3.9,,10145,84518,8.331000493,
2018Q2,,S08000020,,S08000020,d,Emergency Inpatients,,10412,36166,3.473492124,,10233,82357,8.048177465,
2018Q3,,S08000020,,S08000020,d,Emergency Inpatients,,10178,33989,3.339457654,,9922,71890,7.245515017,
2018Q4,,S08000020,,S08000020,d,Emergency Inpatients,,10121,35232,3.481078945,,9953,78099,7.846779865,
2019Q1,,S08000020,,S08000020,d,Emergency Inpatients,,10190,37347,3.665063788,,10008,78265,7.820243805,
2019Q2,,S08000020,,S08000020,d,Emergency Inpatients,,10428,37932,3.637514384,,10197,75363,7.390703148,
2019Q3,,S08000020,,S08000020,d,Emergency Inpatients,,10565,38265,3.621864647,,10339,77713,7.516490957,
2019Q4,,S08000020,,S08000020,d,Emergency Inpatients,,10560,41255,3.906723485,,10366,84700,8.170943469,
2020Q1,,S08000020,,S08000020,d,Emergency Inpatients,,10116,39598,3.914393041,,10066,91226,9.062785615,
2020Q2,,S08000020,,S08000020,d,Emergency Inpatients,,9543,21807,2.285130462,,9316,58228,6.250322027,
2020Q3,p,S08000020,,S08000020,d,Emergency Inpatients,,9747,29288,3.004821997,,9701,62061,6.397381713,
2015Q3,,S08000031,,G107H,,Emergency Inpatients,,10900,15581,1.429449541,,10735,70928,6.607172799,
2015Q4,,S08000031,,G107H,,Emergency Inpatients,,11369,15795,1.389304248,,11196,73818,6.593247588,
2016Q1,,S08000031,,G107H,,Emergency Inpatients,,11881,15993,1.346098813,,11679,75000,6.421782687,
2016Q2,,S08000031,,G107H,,Emergency Inpatients,,11613,15179,1.307069663,,11549,76341,6.6101827,
2016Q3,,S08000031,,G107H,,Emergency Inpatients,,12072,15760,1.305500331,,11942,73195,6.129207838,
2016Q4,,S08000031,,G107H,,Emergency Inpatients,,11329,16095,1.420690264,,11310,74224,6.562687887,
2017Q1,,S08000031,,G107H,,Emergency Inpatients,,9804,22452,2.290085679,,9672,73816,7.631927213,
2017Q2,,S08000031,,G107H,,Emergency Inpatients,,9660,21693,2.245652174,,9601,77291,8.05030726,
2017Q3,,S08000031,,G107H,,Emergency Inpatients,,9846,22006,2.235019297,,9800,72091,7.35622449,
2017Q4,,S08000031,,G107H,,Emergency Inpatients,,9839,22742,2.311413762,,9704,72599,7.481347898,
2018Q1,,S08000031,,G107H,,Emergency Inpatients,,9620,23675,2.461018711,,9545,76367,8.000733368,
2018Q2,,S08000031,,G107H,,Emergency Inpatients,,9941,23039,2.317573685,,9896,75999,7.679769604,
2018Q3,,S08000031,,G107H,,Emergency Inpatients,,10167,23490,2.310416052,,10036,72078,7.181944998,
2018Q4,,S08000031,,G107H,,Emergency Inpatients,,10265,22851,2.226108134,,10145,74744,7.367570232,
2019Q1,,S08000031,,G107H,,Emergency Inpatients,,10113,22640,2.23870266,,10014,75669,7.55632115,
2019Q2,,S08000031,,G107H,,Emergency Inpatients,,10172,20929,2.057510814,,10100,76363,7.560693069,
2019Q3,,S08000031,,G107H,,Emergency Inpatients,,10049,20239,2.014031247,,10001,75203,7.519548045,
2019Q4,,S08000031,,G107H,,Emergency Inpatients,,10138,22773,2.246301046,,9956,74272,7.460024106,
2020Q1,,S08000031,,G107H,,Emergency Inpatients,,9150,21240,2.321311475,,9265,79705,8.60280626,
2020Q2,,S08000031,,G107H,,Emergency Inpatients,,7505,15632,2.082878081,,7345,55537,7.561198094,
2020Q3,p,S08000031,,G107H,,Emergency Inpatients,,8909,18099,2.031541138,,8843,64978,7.347958837,
2015Q3,,S08000031,,C313H,,Emergency Inpatients,,2822,7353,2.605598866,,2775,22314,8.041081081,
2015Q4,,S08000031,,C313H,,Emergency Inpatients,,2815,8175,2.904085258,,2768,21854,7.895231214,
2016Q1,,S08000031,,C313H,,Emergency Inpatients,,2982,8368,2.806170355,,2856,22473,7.868697479,
2016Q2,,S08000031,,C313H,,Emergency Inpatients,,2753,7655,2.780602979,,2704,22384,8.278106509,
2016Q3,,S08000031,,C313H,,Emergency Inpatients,,2756,8295,3.009796807,,2670,21342,7.993258427,
2016Q4,,S08000031,,C313H,,Emergency Inpatients,,2644,8177,3.092662632,,2560,21707,8.479296875,
2017Q1,,S08000031,,C313H,,Emergency Inpatients,,2670,7409,2.774906367,,2612,22174,8.489280245,
2017Q2,,S08000031,,C313H,,Emergency Inpatients,,2707,7221,2.667528629,,2671,22901,8.573942344,
2017Q3,,S08000031,,C313H,,Emergency Inpatients,,2780,6695,2.408273381,,2705,20945,7.743068392,
2017Q4,,S08000031,,C313H,,Emergency Inpatients,,2967,7606,2.563532187,,2890,22314,7.721107266,
2018Q1,,S08000031,,C313H,,Emergency Inpatients,,2892,7891,2.728561549,,2816,23034,8.1796875,
2018Q2,,S08000031,,C313H,,Emergency Inpatients,,2671,6825,2.555222763,,2622,20073,7.655606407,
2018Q3,,S08000031,,C313H,,Emergency Inpatients,,2655,7281,2.742372881,,2544,19830,7.794811321,
2018Q4,,S08000031,,C313H,,Emergency Inpatients,,2741,7617,2.778912806,,2658,21759,8.186230248,
2019Q1,,S08000031,,C313H,,Emergency Inpatients,,2775,8214,2.96,,2695,23451,8.701669759,
2019Q2,,S08000031,,C313H,,Emergency Inpatients,,2736,8742,3.195175439,,2676,24089,9.00186846,
2019Q3,,S08000031,,C313H,,Emergency Inpatients,,2839,8414,2.96371962,,2752,22031,8.005450581,
2019Q4,,S08000031,,C313H,,Emergency Inpatients,,2784,8070,2.898706897,,2729,23301,8.538292415,
2020Q1,,S08000031,,C313H,,Emergency Inpatients,,2549,7442,2.919576304,,2525,24788,9.817029703,
2020Q2,,S08000031,,C313H,,Emergency Inpatients,,1876,5747,3.063432836,,1842,16462,8.937024973,
2020Q3,p,S08000031,,C313H,,Emergency Inpatients,,2324,6613,2.845524957,,2259,19293,8.540504648,
2015Q3,,S08000031,,G306H,,Emergency Inpatients,,0,15, ,z,35,3432,98.05714286,
2015Q4,,S08000031,,G306H,,Emergency Inpatients,,0,20, ,z,5,830,166,
2016Q4,,S08000031,,G306H,,Emergency Inpatients,,0,45, ,z,0,5, ,z
2017Q1,,S08000031,,G306H,,Emergency Inpatients,,0,0, ,z,0,0, ,z
2017Q3,,S08000031,,G306H,,Emergency Inpatients,,5,20,4,,5,968,193.6,
2017Q4,,S08000031,,G306H,,Emergency Inpatients,,0,0, ,z,0,39, ,z
2018Q1,,S08000031,,G306H,,Emergency Inpatients,,0,20, ,z,0,50, ,z
2018Q2,,S08000031,,G306H,,Emergency Inpatients,,5,15,3,,5,105,21,
2018Q3,,S08000031,,G306H,,Emergency Inpatients,,5,110,22,,5,110,22,
2018Q4,,S08000031,,G306H,,Emergency Inpatients,,5,85,17,,5,70,14,
2019Q1,,S08000031,,G306H,,Emergency Inpatients,,5,0,0,,5,137,27.4,
2019Q3,,S08000031,,G306H,,Emergency Inpatients,,5,0,0,,0,0, ,z
2019Q4,,S08000031,,G306H,,Emergency Inpatients,,5,70,14,,5,120,24,
2020Q1,,S08000031,,G306H,,Emergency Inpatients,,0,0, ,z,0,45, ,z
2020Q2,,S08000031,,G306H,,Emergency Inpatients,,5,0,0,,5,0,0,
2020Q3,p,S08000031,,G306H,,Emergency Inpatients,,14,0,0,,14,0,0,
2015Q3,,S08000031,,S08000031,d,Emergency Inpatients,,35484,62249,1.754283621,,34735,240701,6.929638693,
2015Q4,,S08000031,,S08000031,d,Emergency Inpatients,,36223,63844,1.762526572,,35519,251523,7.081364903,
2016Q1,,S08000031,,S08000031,d,Emergency Inpatients,,38201,67148,1.757755033,,37314,262157,7.025700809,
