Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2016Q4,,S08000024,,S116H,,Emergency Inpatients,,3,,806,2669,3.311414392,,771,7657,9.931258106,
2017Q1,,S08000024,,S116H,,Emergency Inpatients,,3,,732,2575,3.517759563,,712,7315,10.2738764,
2017Q2,,S08000024,,S116H,,Emergency Inpatients,,3,,729,2622,3.596707819,,688,6311,9.172965116,
2017Q3,,S08000024,,S116H,,Emergency Inpatients,,3,,763,2567,3.364351245,,737,6105,8.28358209,
2017Q4,,S08000024,,S116H,,Emergency Inpatients,,3,,726,2450,3.374655647,,711,6762,9.510548523,
2018Q1,,S08000024,,S116H,,Emergency Inpatients,,3,,806,3223,3.998759305,,760,6711,8.830263158,
2018Q2,,S08000024,,S116H,,Emergency Inpatients,,3,,715,2433,3.402797203,,684,6026,8.80994152,
2018Q3,,S08000024,,S116H,,Emergency Inpatients,,3,,780,2733,3.503846154,,744,7178,9.647849462,
2018Q4,,S08000024,,S116H,,Emergency Inpatients,,3,,820,2356,2.873170732,,795,6858,8.626415094,
2019Q1,,S08000024,,S116H,,Emergency Inpatients,,3,,772,2799,3.625647668,,750,6154,8.205333333,
2019Q2,,S08000024,,S116H,,Emergency Inpatients,,3,,820,2293,2.796341463,,774,7148,9.235142119,
2019Q3,,S08000024,,S116H,,Emergency Inpatients,,3,,828,2274,2.746376812,,808,6224,7.702970297,
2019Q4,,S08000024,,S116H,,Emergency Inpatients,,3,,846,2599,3.072104019,,810,6134,7.572839506,
2020Q1,,S08000024,,S116H,,Emergency Inpatients,,3,,714,2006,2.80952381,,688,5595,8.132267442,
2020Q2,,S08000024,,S116H,,Emergency Inpatients,,3,,585,1148,1.962393162,,553,4866,8.799276673,
2020Q3,p,S08000024,,S116H,,Emergency Inpatients,,3,,678,1379,2.033923304,,663,4753,7.16892911,
2015Q3,,S08000024,,S116H,,Emergency Inpatients,,4,,738,2295,3.109756098,,702,7006,9.98005698,
2015Q4,,S08000024,,S116H,,Emergency Inpatients,,4,,792,2790,3.522727273,,769,6933,9.015604681,
2016Q1,,S08000024,,S116H,,Emergency Inpatients,,4,,821,2878,3.505481121,,796,7986,10.03266332,
2016Q2,,S08000024,,S116H,,Emergency Inpatients,,4,,802,2608,3.251870324,,754,6841,9.072944297,
2016Q3,,S08000024,,S116H,,Emergency Inpatients,,4,,735,2238,3.044897959,,718,7680,10.69637883,
2016Q4,,S08000024,,S116H,,Emergency Inpatients,,4,,733,2709,3.695770805,,717,7233,10.08786611,
2017Q1,,S08000024,,S116H,,Emergency Inpatients,,4,,755,2602,3.446357616,,720,6432,8.933333333,
2017Q2,,S08000024,,S116H,,Emergency Inpatients,,4,,754,2372,3.145888594,,718,6201,8.636490251,
2017Q3,,S08000024,,S116H,,Emergency Inpatients,,4,,765,2869,3.750326797,,736,6571,8.92798913,
2017Q4,,S08000024,,S116H,,Emergency Inpatients,,4,,774,2644,3.416020672,,744,6545,8.797043011,
2018Q1,,S08000024,,S116H,,Emergency Inpatients,,4,,757,2834,3.743725231,,738,7412,10.04336043,
2018Q2,,S08000024,,S116H,,Emergency Inpatients,,4,,737,2483,3.369063772,,718,6197,8.63091922,
2018Q3,,S08000024,,S116H,,Emergency Inpatients,,4,,806,2807,3.482630273,,763,5994,7.855832241,
2018Q4,,S08000024,,S116H,,Emergency Inpatients,,4,,884,2599,2.940045249,,860,7480,8.697674419,
2019Q1,,S08000024,,S116H,,Emergency Inpatients,,4,,827,2665,3.222490931,,810,6042,7.459259259,
2019Q2,,S08000024,,S116H,,Emergency Inpatients,,4,,826,2218,2.685230024,,800,6152,7.69,
2019Q3,,S08000024,,S116H,,Emergency Inpatients,,4,,912,2295,2.516447368,,893,7210,8.073908175,
2019Q4,,S08000024,,S116H,,Emergency Inpatients,,4,,840,2666,3.173809524,,827,6234,7.53808948,
2020Q1,,S08000024,,S116H,,Emergency Inpatients,,4,,789,2199,2.787072243,,777,6841,8.804375804,
2020Q2,,S08000024,,S116H,,Emergency Inpatients,,4,,670,1630,2.432835821,,638,4550,7.131661442,
2020Q3,p,S08000024,,S116H,,Emergency Inpatients,,4,,676,1528,2.26035503,,653,4794,7.341500766,
2015Q3,,S08000024,,S116H,,Emergency Inpatients,,5,,1309,4764,3.639419404,,1299,14932,11.49499615,
2015Q4,,S08000024,,S116H,,Emergency Inpatients,,5,,1255,4334,3.453386454,,1215,11657,9.594238683,
2016Q1,,S08000024,,S116H,,Emergency Inpatients,,5,,1337,4671,3.493642483,,1314,13311,10.13013699,
2016Q2,,S08000024,,S116H,,Emergency Inpatients,,5,,1332,4170,3.130630631,,1294,12952,10.00927357,
2016Q3,,S08000024,,S116H,,Emergency Inpatients,,5,,1282,3671,2.86349454,,1255,12731,10.14422311,
2016Q4,,S08000024,,S116H,,Emergency Inpatients,,5,,1341,4474,3.336316182,,1330,14529,10.92406015,
2017Q1,,S08000024,,S116H,,Emergency Inpatients,,5,,1362,6608,4.851688693,,1321,17099,12.94398183,
2017Q2,,S08000024,,S116H,,Emergency Inpatients,,5,,1454,4693,3.227647868,,1425,14445,10.13684211,
2017Q3,,S08000024,,S116H,,Emergency Inpatients,,5,,1419,4307,3.035236082,,1414,14175,10.02475248,
2017Q4,,S08000024,,S116H,,Emergency Inpatients,,5,,1505,5443,3.616611296,,1453,13946,9.598072953,
2018Q1,,S08000024,,S116H,,Emergency Inpatients,,5,,1438,5766,4.009735744,,1433,15488,10.80809491,
2018Q2,,S08000024,,S116H,,Emergency Inpatients,,5,,1430,4776,3.33986014,,1421,15299,10.76636172,
2018Q3,,S08000024,,S116H,,Emergency Inpatients,,5,,1445,5271,3.647750865,,1426,14810,10.38569425,
2018Q4,,S08000024,,S116H,,Emergency Inpatients,,5,,1600,5671,3.544375,,1558,14425,9.258664955,
2019Q1,,S08000024,,S116H,,Emergency Inpatients,,5,,1516,4278,2.821899736,,1504,13706,9.113031915,
2019Q2,,S08000024,,S116H,,Emergency Inpatients,,5,,1484,3503,2.360512129,,1475,12124,8.219661017,
2019Q3,,S08000024,,S116H,,Emergency Inpatients,,5,,1541,3614,2.34523037,,1497,10861,7.255177021,
2019Q4,,S08000024,,S116H,,Emergency Inpatients,,5,,1571,4059,2.583704647,,1551,13527,8.721470019,
2020Q1,,S08000024,,S116H,,Emergency Inpatients,,5,,1386,4184,3.018759019,,1372,13492,9.833819242,
2020Q2,,S08000024,,S116H,,Emergency Inpatients,,5,,1125,2508,2.229333333,,1101,9344,8.486830154,
2020Q3,p,S08000024,,S116H,,Emergency Inpatients,,5,,1257,2634,2.095465394,,1240,8317,6.707258065,
2015Q3,,S08000024,,S116H,,Emergency Inpatients,, ,:,58,169,2.913793103,,54,400,7.407407407,
2015Q4,,S08000024,,S116H,,Emergency Inpatients,, ,:,40,75,1.875,,35,208,5.942857143,
2016Q1,,S08000024,,S116H,,Emergency Inpatients,, ,:,43,113,2.627906977,,35,162,4.628571429,
2016Q2,,S08000024,,S116H,,Emergency Inpatients,, ,:,30,65,2.166666667,,32,305,9.53125,
2016Q3,,S08000024,,S116H,,Emergency Inpatients,, ,:,51,120,2.352941176,,50,394,7.88,
2016Q4,,S08000024,,S116H,,Emergency Inpatients,, ,:,32,53,1.65625,,28,127,4.535714286,
2017Q1,,S08000024,,S116H,,Emergency Inpatients,, ,:,24,64,2.666666667,,24,206,8.583333333,
2017Q2,,S08000024,,S116H,,Emergency Inpatients,, ,:,38,94,2.473684211,,37,186,5.027027027,
2017Q3,,S08000024,,S116H,,Emergency Inpatients,, ,:,67,121,1.805970149,,61,215,3.524590164,
2017Q4,,S08000024,,S116H,,Emergency Inpatients,, ,:,51,99,1.941176471,,48,329,6.854166667,
2018Q1,,S08000024,,S116H,,Emergency Inpatients,, ,:,30,70,2.333333333,,30,363,12.1,
2018Q2,,S08000024,,S116H,,Emergency Inpatients,, ,:,47,76,1.617021277,,45,334,7.422222222,
2018Q3,,S08000024,,S116H,,Emergency Inpatients,, ,:,62,134,2.161290323,,58,624,10.75862069,
2018Q4,,S08000024,,S116H,,Emergency Inpatients,, ,:,27,45,1.666666667,,29,148,5.103448276,
2019Q1,,S08000024,,S116H,,Emergency Inpatients,, ,:,30,60,2,,26,127,4.884615385,
2019Q2,,S08000024,,S116H,,Emergency Inpatients,, ,:,53,98,1.849056604,,49,251,5.12244898,
2019Q3,,S08000024,,S116H,,Emergency Inpatients,, ,:,60,116,1.933333333,,56,237,4.232142857,
2019Q4,,S08000024,,S116H,,Emergency Inpatients,, ,:,53,116,2.188679245,,49,713,14.55102041,
2020Q1,,S08000024,,S116H,,Emergency Inpatients,, ,:,30,55,1.833333333,,29,218,7.517241379,
2020Q2,,S08000024,,S116H,,Emergency Inpatients,, ,:,12,14,1.166666667,,10,45,4.5,
2020Q3,p,S08000024,,S116H,,Emergency Inpatients,, ,:,15,28,1.866666667,,15,35,2.333333333,
2016Q1,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2016Q2,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2016Q3,,S08000025,,S08000025,d,Emergency Inpatients,,1,,5,5,1,,5,5,1,
2016Q4,,S08000025,,S08000025,d,Emergency Inpatients,,1,,5,5,1,,5,5,1,
2017Q2,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,8, ,z
2018Q1,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2018Q2,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2018Q3,,S08000025,,S08000025,d,Emergency Inpatients,,1,,5,0,0,,5,0,0,
2018Q4,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,5, ,z,0,8, ,z
2019Q1,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2019Q2,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,5, ,z,0,7, ,z
2019Q4,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,5, ,z,0,5, ,z
2020Q1,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2020Q2,,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2020Q3,p,S08000025,,S08000025,d,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2015Q3,,S08000025,,S08000025,d,Emergency Inpatients,,2,,63,346,5.492063492,,59,621,10.52542373,
2015Q4,,S08000025,,S08000025,d,Emergency Inpatients,,2,,56,339,6.053571429,,55,640,11.63636364,
2016Q1,,S08000025,,S08000025,d,Emergency Inpatients,,2,,60,154,2.566666667,,63,524,8.317460317,
2016Q2,,S08000025,,S08000025,d,Emergency Inpatients,,2,,67,149,2.223880597,,65,277,4.261538462,
2016Q3,,S08000025,,S08000025,d,Emergency Inpatients,,2,,53,96,1.811320755,,52,333,6.403846154,
2016Q4,,S08000025,,S08000025,d,Emergency Inpatients,,2,,62,180,2.903225806,,62,483,7.790322581,
2017Q1,,S08000025,,S08000025,d,Emergency Inpatients,,2,,55,105,1.909090909,,56,301,5.375,
2017Q2,,S08000025,,S08000025,d,Emergency Inpatients,,2,,75,182,2.426666667,,72,349,4.847222222,
2017Q3,,S08000025,,S08000025,d,Emergency Inpatients,,2,,62,231,3.725806452,,64,408,6.375,
2017Q4,,S08000025,,S08000025,d,Emergency Inpatients,,2,,69,222,3.217391304,,69,534,7.739130435,
2018Q1,,S08000025,,S08000025,d,Emergency Inpatients,,2,,82,292,3.56097561,,79,507,6.417721519,
2018Q2,,S08000025,,S08000025,d,Emergency Inpatients,,2,,79,235,2.974683544,,78,507,6.5,
2018Q3,,S08000025,,S08000025,d,Emergency Inpatients,,2,,90,208,2.311111111,,91,572,6.285714286,
2018Q4,,S08000025,,S08000025,d,Emergency Inpatients,,2,,89,263,2.95505618,,89,564,6.337078652,
2019Q1,,S08000025,,S08000025,d,Emergency Inpatients,,2,,77,292,3.792207792,,75,480,6.4,
2019Q2,,S08000025,,S08000025,d,Emergency Inpatients,,2,,63,173,2.746031746,,66,566,8.575757576,
2019Q3,,S08000025,,S08000025,d,Emergency Inpatients,,2,,83,242,2.915662651,,85,423,4.976470588,
2019Q4,,S08000025,,S08000025,d,Emergency Inpatients,,2,,82,401,4.890243902,,79,536,6.784810127,
2020Q1,,S08000025,,S08000025,d,Emergency Inpatients,,2,,75,351,4.68,,74,653,8.824324324,
2020Q2,,S08000025,,S08000025,d,Emergency Inpatients,,2,,63,251,3.984126984,,65,516,7.938461538,
2020Q3,p,S08000025,,S08000025,d,Emergency Inpatients,,2,,80,191,2.3875,,79,349,4.417721519,
2015Q3,,S08000025,,S08000025,d,Emergency Inpatients,,3,,170,480,2.823529412,,167,1338,8.011976048,
2015Q4,,S08000025,,S08000025,d,Emergency Inpatients,,3,,146,458,3.136986301,,142,1315,9.26056338,
2016Q1,,S08000025,,S08000025,d,Emergency Inpatients,,3,,153,411,2.68627451,,153,1003,6.555555556,
2016Q2,,S08000025,,S08000025,d,Emergency Inpatients,,3,,127,329,2.590551181,,127,1536,12.09448819,
2016Q3,,S08000025,,S08000025,d,Emergency Inpatients,,3,,145,422,2.910344828,,145,1255,8.655172414,
2016Q4,,S08000025,,S08000025,d,Emergency Inpatients,,3,,115,271,2.356521739,,121,1445,11.94214876,
2017Q1,,S08000025,,S08000025,d,Emergency Inpatients,,3,,91,341,3.747252747,,89,717,8.056179775,
2017Q2,,S08000025,,S08000025,d,Emergency Inpatients,,3,,101,418,4.138613861,,101,835,8.267326733,
2017Q3,,S08000025,,S08000025,d,Emergency Inpatients,,3,,104,372,3.576923077,,105,919,8.752380952,
2017Q4,,S08000025,,S08000025,d,Emergency Inpatients,,3,,95,348,3.663157895,,95,733,7.715789474,
2018Q1,,S08000025,,S08000025,d,Emergency Inpatients,,3,,99,324,3.272727273,,100,812,8.12,
2018Q2,,S08000025,,S08000025,d,Emergency Inpatients,,3,,107,300,2.803738318,,106,660,6.226415094,
2018Q3,,S08000025,,S08000025,d,Emergency Inpatients,,3,,99,323,3.262626263,,99,661,6.676767677,
2018Q4,,S08000025,,S08000025,d,Emergency Inpatients,,3,,91,299,3.285714286,,95,586,6.168421053,
2019Q1,,S08000025,,S08000025,d,Emergency Inpatients,,3,,86,333,3.872093023,,79,415,5.253164557,
2019Q2,,S08000025,,S08000025,d,Emergency Inpatients,,3,,103,326,3.165048544,,103,739,7.174757282,
2019Q3,,S08000025,,S08000025,d,Emergency Inpatients,,3,,88,366,4.159090909,,90,814,9.044444444,
2019Q4,,S08000025,,S08000025,d,Emergency Inpatients,,3,,88,406,4.613636364,,87,568,6.528735632,
2020Q1,,S08000025,,S08000025,d,Emergency Inpatients,,3,,91,405,4.450549451,,91,784,8.615384615,
2020Q2,,S08000025,,S08000025,d,Emergency Inpatients,,3,,50,268,5.36,,50,500,10,
2020Q3,p,S08000025,,S08000025,d,Emergency Inpatients,,3,,86,386,4.488372093,,85,589,6.929411765,
2015Q3,,S08000025,,S08000025,d,Emergency Inpatients,,4,,191,582,3.047120419,,180,1001,5.561111111,
2015Q4,,S08000025,,S08000025,d,Emergency Inpatients,,4,,170,529,3.111764706,,172,1468,8.534883721,
2016Q1,,S08000025,,S08000025,d,Emergency Inpatients,,4,,182,428,2.351648352,,178,1028,5.775280899,
2016Q2,,S08000025,,S08000025,d,Emergency Inpatients,,4,,156,343,2.198717949,,158,970,6.139240506,
2016Q3,,S08000025,,S08000025,d,Emergency Inpatients,,4,,153,388,2.535947712,,150,1194,7.96,
2016Q4,,S08000025,,S08000025,d,Emergency Inpatients,,4,,161,400,2.48447205,,157,950,6.050955414,
2017Q1,,S08000025,,S08000025,d,Emergency Inpatients,,4,,200,641,3.205,,197,1645,8.350253807,
2017Q2,,S08000025,,S08000025,d,Emergency Inpatients,,4,,199,625,3.140703518,,204,1595,7.818627451,
2017Q3,,S08000025,,S08000025,d,Emergency Inpatients,,4,,201,603,3,,195,1123,5.758974359,
2017Q4,,S08000025,,S08000025,d,Emergency Inpatients,,4,,253,902,3.565217391,,249,1884,7.56626506,
2018Q1,,S08000025,,S08000025,d,Emergency Inpatients,,4,,233,804,3.450643777,,230,1519,6.604347826,
2018Q2,,S08000025,,S08000025,d,Emergency Inpatients,,4,,240,657,2.7375,,241,1713,7.107883817,
2018Q3,,S08000025,,S08000025,d,Emergency Inpatients,,4,,234,765,3.269230769,,240,1985,8.270833333,
2018Q4,,S08000025,,S08000025,d,Emergency Inpatients,,4,,262,907,3.461832061,,250,1687,6.748,
2019Q1,,S08000025,,S08000025,d,Emergency Inpatients,,4,,253,913,3.608695652,,257,2064,8.031128405,
2019Q2,,S08000025,,S08000025,d,Emergency Inpatients,,4,,224,791,3.53125,,224,2244,10.01785714,
2019Q3,,S08000025,,S08000025,d,Emergency Inpatients,,4,,216,808,3.740740741,,217,1456,6.709677419,
2019Q4,,S08000025,,S08000025,d,Emergency Inpatients,,4,,255,999,3.917647059,,254,1767,6.956692913,
2020Q1,,S08000025,,S08000025,d,Emergency Inpatients,,4,,235,989,4.208510638,,238,1793,7.533613445,
2020Q2,,S08000025,,S08000025,d,Emergency Inpatients,,4,,207,731,3.531400966,,205,1605,7.829268293,
2020Q3,p,S08000025,,S08000025,d,Emergency Inpatients,,4,,249,966,3.879518072,,249,1469,5.899598394,
2015Q3,,S08000025,,S08000025,d,Emergency Inpatients,,5,,35,58,1.657142857,,37,128,3.459459459,
2015Q4,,S08000025,,S08000025,d,Emergency Inpatients,,5,,34,43,1.264705882,,33,129,3.909090909,
2016Q1,,S08000025,,S08000025,d,Emergency Inpatients,,5,,26,48,1.846153846,,21,57,2.714285714,
2016Q2,,S08000025,,S08000025,d,Emergency Inpatients,,5,,29,112,3.862068966,,31,239,7.709677419,
2016Q3,,S08000025,,S08000025,d,Emergency Inpatients,,5,,21,52,2.476190476,,21,211,10.04761905,
2016Q4,,S08000025,,S08000025,d,Emergency Inpatients,,5,,16,20,1.25,,15,90,6,
2017Q1,,S08000025,,S08000025,d,Emergency Inpatients,,5,,5,5,1,,5,112,22.4,
2017Q2,,S08000025,,S08000025,d,Emergency Inpatients,,5,,5,14,2.8,,5,25,5,
2017Q3,,S08000025,,S08000025,d,Emergency Inpatients,,5,,0,5, ,z,0,0, ,z
2017Q4,,S08000025,,S08000025,d,Emergency Inpatients,,5,,0,14, ,z,0,26, ,z
2018Q1,,S08000025,,S08000025,d,Emergency Inpatients,,5,,0,0, ,z,0,236, ,z
2018Q2,,S08000025,,S08000025,d,Emergency Inpatients,,5,,0,0, ,z,0,5, ,z
2018Q3,,S08000025,,S08000025,d,Emergency Inpatients,,5,,0,0, ,z,0,0, ,z
2019Q2,,S08000025,,S08000025,d,Emergency Inpatients,,5,,5,5,1,,5,21,4.2,
2019Q3,,S08000025,,S08000025,d,Emergency Inpatients,,5,,5,0,0,,5,0,0,
2020Q1,,S08000025,,S08000025,d,Emergency Inpatients,,5,,5,11,2.2,,5,11,2.2,
2020Q2,,S08000025,,S08000025,d,Emergency Inpatients,,5,,0,0, ,z,0,0, ,z
2020Q3,p,S08000025,,S08000025,d,Emergency Inpatients,,5,,0,0, ,z,0,0, ,z
2015Q3,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,15,41,2.733333333,,17,82,4.823529412,
2016Q2,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,11,11,1,,10,27,2.7,
2016Q3,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,20,30,1.5,,21,56,2.666666667,
2016Q4,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,5,8,1.6,,5,8,1.6,
2017Q1,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,10,24,2.4,,5,30,6,
2017Q2,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,14,26,1.857142857,,15,69,4.6,
2017Q3,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,20,21,1.05,,20,65,3.25,
2017Q4,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,5,9,1.8,,5,9,1.8,
2018Q1,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,5,5,1,,5,5,1,
2018Q2,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,19,43,2.263157895,,20,58,2.9,
2018Q3,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,28,43,1.535714286,,29,119,4.103448276,
2018Q4,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,5,5,1,,5,5,1,
2019Q1,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,10,31,3.1,,10,40,4,
2019Q2,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,20,29,1.45,,21,68,3.238095238,
2019Q3,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,15,34,2.266666667,,15,34,2.266666667,
2019Q4,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,13,27,2.076923077,,13,47,3.615384615,
2020Q1,,S08000025,,S08000025,d,Emergency Inpatients,, ,:,0,0, ,z,0,0, ,z
2020Q3,p,S08000025,,S08000025,d,Emergency Inpatients,, ,:,10,18,1.8,,10,53,5.3,
2016Q1,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2016Q2,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2016Q3,,S08000025,,R103H,,Emergency Inpatients,,1,,5,5,1,,5,6,1.2,
2016Q4,,S08000025,,R103H,,Emergency Inpatients,,1,,5,5,1,,5,5,1,
2017Q2,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,8, ,z
2018Q1,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2018Q2,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2018Q3,,S08000025,,R103H,,Emergency Inpatients,,1,,5,0,0,,5,0,0,
2018Q4,,S08000025,,R103H,,Emergency Inpatients,,1,,0,5, ,z,0,10, ,z
2019Q1,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2019Q2,,S08000025,,R103H,,Emergency Inpatients,,1,,0,7, ,z,0,7, ,z
2019Q4,,S08000025,,R103H,,Emergency Inpatients,,1,,0,5, ,z,0,5, ,z
2020Q1,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2020Q2,,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2020Q3,p,S08000025,,R103H,,Emergency Inpatients,,1,,0,0, ,z,0,0, ,z
2015Q3,,S08000025,,R103H,,Emergency Inpatients,,2,,63,346,5.492063492,,59,621,10.52542373,
2015Q4,,S08000025,,R103H,,Emergency Inpatients,,2,,56,339,6.053571429,,55,640,11.63636364,
2016Q1,,S08000025,,R103H,,Emergency Inpatients,,2,,60,154,2.566666667,,63,524,8.317460317,
2016Q2,,S08000025,,R103H,,Emergency Inpatients,,2,,67,149,2.223880597,,65,277,4.261538462,
2016Q3,,S08000025,,R103H,,Emergency Inpatients,,2,,53,96,1.811320755,,52,333,6.403846154,
2016Q4,,S08000025,,R103H,,Emergency Inpatients,,2,,62,180,2.903225806,,62,483,7.790322581,
2017Q1,,S08000025,,R103H,,Emergency Inpatients,,2,,55,105,1.909090909,,55,301,5.472727273,
2017Q2,,S08000025,,R103H,,Emergency Inpatients,,2,,75,182,2.426666667,,72,349,4.847222222,
2017Q3,,S08000025,,R103H,,Emergency Inpatients,,2,,62,231,3.725806452,,64,408,6.375,
2017Q4,,S08000025,,R103H,,Emergency Inpatients,,2,,69,222,3.217391304,,69,534,7.739130435,
2018Q1,,S08000025,,R103H,,Emergency Inpatients,,2,,82,292,3.56097561,,79,507,6.417721519,
2018Q2,,S08000025,,R103H,,Emergency Inpatients,,2,,79,235,2.974683544,,78,507,6.5,
2018Q3,,S08000025,,R103H,,Emergency Inpatients,,2,,90,208,2.311111111,,91,572,6.285714286,
2018Q4,,S08000025,,R103H,,Emergency Inpatients,,2,,89,263,2.95505618,,89,564,6.337078652,
2019Q1,,S08000025,,R103H,,Emergency Inpatients,,2,,77,292,3.792207792,,75,480,6.4,
2019Q2,,S08000025,,R103H,,Emergency Inpatients,,2,,63,173,2.746031746,,66,566,8.575757576,
2019Q3,,S08000025,,R103H,,Emergency Inpatients,,2,,83,242,2.915662651,,85,423,4.976470588,
2019Q4,,S08000025,,R103H,,Emergency Inpatients,,2,,82,401,4.890243902,,79,536,6.784810127,
2020Q1,,S08000025,,R103H,,Emergency Inpatients,,2,,75,351,4.68,,74,653,8.824324324,
2020Q2,,S08000025,,R103H,,Emergency Inpatients,,2,,63,251,3.984126984,,65,516,7.938461538,
2020Q3,p,S08000025,,R103H,,Emergency Inpatients,,2,,80,191,2.3875,,79,349,4.417721519,
2015Q3,,S08000025,,R103H,,Emergency Inpatients,,3,,170,480,2.823529412,,167,1338,8.011976048,
2015Q4,,S08000025,,R103H,,Emergency Inpatients,,3,,146,458,3.136986301,,142,1315,9.26056338,
2016Q1,,S08000025,,R103H,,Emergency Inpatients,,3,,153,411,2.68627451,,153,1003,6.555555556,
2016Q2,,S08000025,,R103H,,Emergency Inpatients,,3,,127,329,2.590551181,,127,1536,12.09448819,
2016Q3,,S08000025,,R103H,,Emergency Inpatients,,3,,145,422,2.910344828,,145,1255,8.655172414,
2016Q4,,S08000025,,R103H,,Emergency Inpatients,,3,,115,271,2.356521739,,121,1445,11.94214876,
2017Q1,,S08000025,,R103H,,Emergency Inpatients,,3,,91,341,3.747252747,,89,717,8.056179775,
2017Q2,,S08000025,,R103H,,Emergency Inpatients,,3,,101,418,4.138613861,,101,835,8.267326733,
2017Q3,,S08000025,,R103H,,Emergency Inpatients,,3,,104,372,3.576923077,,105,919,8.752380952,
2017Q4,,S08000025,,R103H,,Emergency Inpatients,,3,,95,348,3.663157895,,95,733,7.715789474,
2018Q1,,S08000025,,R103H,,Emergency Inpatients,,3,,99,324,3.272727273,,100,812,8.12,
2018Q2,,S08000025,,R103H,,Emergency Inpatients,,3,,107,300,2.803738318,,106,660,6.226415094,
2018Q3,,S08000025,,R103H,,Emergency Inpatients,,3,,99,323,3.262626263,,99,661,6.676767677,
2018Q4,,S08000025,,R103H,,Emergency Inpatients,,3,,91,299,3.285714286,,95,586,6.168421053,
2019Q1,,S08000025,,R103H,,Emergency Inpatients,,3,,86,333,3.872093023,,79,415,5.253164557,
2019Q2,,S08000025,,R103H,,Emergency Inpatients,,3,,103,326,3.165048544,,103,739,7.174757282,
2019Q3,,S08000025,,R103H,,Emergency Inpatients,,3,,88,366,4.159090909,,90,814,9.044444444,
2019Q4,,S08000025,,R103H,,Emergency Inpatients,,3,,88,406,4.613636364,,87,568,6.528735632,
2020Q1,,S08000025,,R103H,,Emergency Inpatients,,3,,91,405,4.450549451,,91,784,8.615384615,
2020Q2,,S08000025,,R103H,,Emergency Inpatients,,3,,50,268,5.36,,50,500,10,
2020Q3,p,S08000025,,R103H,,Emergency Inpatients,,3,,86,386,4.488372093,,85,589,6.929411765,
2015Q3,,S08000025,,R103H,,Emergency Inpatients,,4,,191,582,3.047120419,,180,1001,5.561111111,
2015Q4,,S08000025,,R103H,,Emergency Inpatients,,4,,170,529,3.111764706,,172,1468,8.534883721,
2016Q1,,S08000025,,R103H,,Emergency Inpatients,,4,,182,428,2.351648352,,178,1028,5.775280899,
2016Q2,,S08000025,,R103H,,Emergency Inpatients,,4,,156,343,2.198717949,,158,970,6.139240506,
2016Q3,,S08000025,,R103H,,Emergency Inpatients,,4,,153,388,2.535947712,,150,1194,7.96,
